"0","# Load the ggplot2 package"
"0","library(ggplot2)"
"0",""
"0","# Create a data frame with the time series data and decomposition components"
"0","decomposition_df <- data.frame(time = time(ts_data_train), value = ts_data_train, seasonality, trend, remainder)"
"0",""
"0","# Plot the time series data, seasonality, trend, and remainder components using ggplot2"
"0","ggplot(decomposition_df, aes(x = time)) +"
"0","  geom_line(aes(y = value), color = ""black"") +"
"0","  geom_line(aes(y = seasonality), color = ""green"") +"
"0","  geom_line(aes(y = trend), color = ""red"") +"
"0","  geom_line(aes(y = remainder), color = ""blue"") +"
"0","  labs(title = ""Time Series Decomposition"", x = ""Time"", y = ""Value"")"
